Cell_ID,Session_ID,Local_Index,Depth,Average_Firing_Rate,BTM,BSM,Ordering,Session_Cell_ID,NP_ID,good_cell
3,1,0,3900.0,1.33037694,2.320468979,0.09765625,45,1_3,NP04_0,False
7,1,1,3940.0,4.21895787,2.173913043,0.104166667,290,1_7,NP04_1,False
8,1,2,3940.0,5.62084257,0.610649731,0.364583333,443,1_8,NP04_2,False
22,1,3,3980.0,9.17128603,2.418172936,0.01953125,639,1_22,NP04_3,False
23,1,4,3980.0,4.61308204,2.173913043,0.091145833,187,1_23,NP04_4,False
35,1,5,4020.0,9.11640798,2.027357108,0.17578125,361,1_35,NP04_5,False
38,1,6,4020.0,3.03658537,0.219833903,0.305989583,380,1_38,NP04_6,True
44,1,7,4060.0,8.29323725,0.464093796,0.15625,653,1_44,NP04_7,False
63,1,8,4220.0,4.87583149,0.366389839,0.345052083,498,1_63,NP04_8,False
64,1,9,4220.0,3.49556541,0.512945774,0.1171875,303,1_64,NP04_9,False
77,1,10,4300.0,2.5210643,-1.0,-1.0,546,1_77,NP04_10,False
90,1,11,4340.0,7.54822616,0.757205667,0.149739583,4,1_90,NP04_11,True
104,1,12,4420.0,9.58536585,3.834880313,0.05859375,16,1_104,NP04_12,False
106,1,13,4420.0,0.99113082,-1.0,-1.0,641,1_106,NP04_13,True
110,1,14,620.0,1.01108647,-1.0,-1.0,327,1_110,NP04_14,False
117,1,15,4460.0,10.19567627,-1.0,-1.0,269,1_117,NP04_15,False
128,1,16,660.0,1.08425721,-1.0,-1.0,544,1_128,NP04_16,False
139,1,17,4540.0,4.42682927,-1.0,-1.0,438,1_139,NP04_17,False
140,1,18,4540.0,19.96230599,-1.0,-1.0,545,1_140,NP04_18,False
144,1,19,4540.0,3.73669623,-1.0,-1.0,340,1_144,NP04_19,False
154,1,20,700.0,0.75,-1.0,-1.0,596,1_154,NP04_20,False
173,1,21,4680.0,0.99944568,-1.0,-1.0,153,1_173,NP04_21,True
177,1,22,4720.0,4.94733925,-1.0,-1.0,587,1_177,NP04_22,False
188,1,23,4740.0,4.68292683,-1.0,-1.0,88,1_188,NP04_23,True
200,1,24,4780.0,5.3248337,-1.0,-1.0,174,1_200,NP04_24,False
205,1,25,4780.0,3.75665188,-1.0,-1.0,230,1_205,NP04_25,False
211,1,26,4780.0,18.33093126,-1.0,-1.0,166,1_211,NP04_26,False
224,1,27,1020.0,4.78603104,-1.0,-1.0,89,1_224,NP04_27,True
226,1,28,4860.0,6.0,-1.0,-1.0,296,1_226,NP04_28,False
229,1,29,1060.0,8.05543237,-1.0,-1.0,121,1_229,NP04_29,False
232,1,30,1100.0,5.69235033,-1.0,-1.0,160,1_232,NP04_30,False
237,1,31,1100.0,7.07760532,-1.0,-1.0,393,1_237,NP04_31,False
253,1,32,5000.0,8.10864745,-1.0,-1.0,161,1_253,NP04_32,False
258,1,33,5020.0,3.80654102,-1.0,-1.0,7,1_258,NP04_33,False
261,1,34,5020.0,7.00277162,-1.0,-1.0,242,1_261,NP04_34,False
275,1,35,5100.0,4.34368071,-1.0,-1.0,463,1_275,NP04_35,False
297,1,36,1420.0,0.50720621,-1.0,-1.0,504,1_297,NP04_36,False
301,1,37,1460.0,0.6868071,-1.0,-1.0,431,1_301,NP04_37,True
305,1,38,5300.0,4.49168514,-1.0,-1.0,415,1_305,NP04_38,False
340,1,39,1660.0,3.82150776,-1.0,-1.0,678,1_340,NP04_39,False
345,1,40,5500.0,9.84312639,-1.0,-1.0,198,1_345,NP04_40,False
353,1,41,5540.0,3.65354767,-1.0,-1.0,413,1_353,NP04_41,False
359,1,42,1740.0,2.78381375,-1.0,-1.0,61,1_359,NP04_42,False
360,1,43,1740.0,10.06762749,-1.0,-1.0,232,1_360,NP04_43,False
368,1,44,1780.0,3.81818182,-1.0,-1.0,36,1_368,NP04_44,False
376,1,45,1820.0,1.86252772,-1.0,-1.0,508,1_376,NP04_45,False
384,1,46,1840.0,1.2405765,-1.0,-1.0,177,1_384,NP04_46,False
389,1,47,1860.0,1.38026608,-1.0,-1.0,305,1_389,NP04_47,False
421,1,48,1980.0,1.33203991,-1.0,-1.0,284,1_421,NP04_48,False
430,1,49,1980.0,2.19512195,-1.0,-1.0,589,1_430,NP04_49,False
439,1,50,2020.0,8.17017738,-1.0,-1.0,192,1_439,NP04_50,False
451,1,51,2060.0,10.06762749,-1.0,-1.0,185,1_451,NP04_51,True
458,1,52,2100.0,2.27660754,-1.0,-1.0,277,1_458,NP04_52,True
466,1,53,2100.0,1.36862528,-1.0,-1.0,126,1_466,NP04_53,False
507,1,54,2240.0,3.22949002,-1.0,-1.0,171,1_507,NP04_54,False
514,1,55,2260.0,1.27882483,-1.0,-1.0,221,1_514,NP04_55,False
518,1,56,2280.0,3.95454545,-1.0,-1.0,80,1_518,NP04_56,False
561,1,57,2420.0,2.46784922,-1.0,-1.0,659,1_561,NP04_57,True
607,1,58,2540.0,3.57871397,-1.0,-1.0,276,1_607,NP04_58,False
645,1,59,2660.0,5.42128603,-1.0,-1.0,664,1_645,NP04_59,False
648,1,60,2700.0,1.5116408,-1.0,-1.0,191,1_648,NP04_60,False
649,1,61,2700.0,4.79933481,-1.0,-1.0,137,1_649,NP04_61,False
702,1,62,2940.0,3.16297118,-1.0,-1.0,530,1_702,NP04_62,False
723,1,63,3020.0,3.47560976,-1.0,-1.0,323,1_723,NP04_63,False
728,1,64,3040.0,5.75720621,-1.0,-1.0,334,1_728,NP04_64,False
744,1,65,3100.0,1.91241685,-1.0,-1.0,465,1_744,NP04_65,False
769,1,66,3180.0,0.41574279,-1.0,-1.0,575,1_769,NP04_66,True
772,1,67,3180.0,0.81818182,-1.0,-1.0,294,1_772,NP04_67,False
846,1,68,3300.0,14.33148559,-1.0,-1.0,236,1_846,NP04_68,False
857,1,69,3300.0,4.88414634,-1.0,-1.0,302,1_857,NP04_69,True
924,1,70,3520.0,2.82871397,-1.0,-1.0,204,1_924,NP04_70,False
943,1,71,3540.0,10.39523282,-1.0,-1.0,98,1_943,NP04_71,False
965,1,72,3620.0,3.21452328,-1.0,-1.0,554,1_965,NP04_72,False
981,1,73,3660.0,2.01884701,-1.0,-1.0,370,1_981,NP04_73,False
984,1,74,3680.0,4.5631929,-1.0,-1.0,684,1_984,NP04_74,False
1011,1,75,3780.0,3.45232816,-1.0,-1.0,418,1_1011,NP04_75,False
1019,1,76,3800.0,2.26995565,-1.0,-1.0,451,1_1019,NP04_76,False
1027,1,77,3820.0,2.90521064,-1.0,-1.0,501,1_1027,NP04_77,False
1044,1,78,4420.0,2.24501109,-1.0,-1.0,646,1_1044,NP04_78,False
1046,1,79,680.0,1.38858093,-1.0,-1.0,369,1_1046,NP04_79,False
1047,1,80,4540.0,1.29545455,-1.0,-1.0,640,1_1047,NP04_80,False
1049,1,81,4740.0,3.74168514,-1.0,-1.0,477,1_1049,NP04_81,False
1052,1,82,4980.0,2.35144124,-1.0,-1.0,267,1_1052,NP04_82,True
1054,1,83,1220.0,2.18514412,-1.0,-1.0,537,1_1054,NP04_83,False
1057,1,84,1760.0,1.05764967,-1.0,-1.0,167,1_1057,NP04_84,False
1060,1,85,2060.0,1.21563193,-1.0,-1.0,157,1_1060,NP04_85,False
1075,1,86,3340.0,0.58536585,-1.0,-1.0,138,1_1075,NP04_86,False
1076,1,87,3420.0,3.07982262,-1.0,-1.0,381,1_1076,NP04_87,False
1078,1,88,3540.0,4.18569845,-1.0,-1.0,124,1_1078,NP04_88,False
1081,1,89,3760.0,1.74778271,-1.0,-1.0,642,1_1081,NP04_89,False
1083,1,90,2060.0,1.55321508,-1.0,-1.0,19,1_1083,NP04_90,False
1085,1,91,2620.0,1.68292683,-1.0,-1.0,228,1_1085,NP04_91,False
1090,1,92,4340.0,1.46674058,-1.0,-1.0,34,1_1090,NP04_92,False
510,1,93,2240.0,4.16740576,-1.0,-1.0,62,1_510,NP04_93,False
980,1,94,3660.0,0.83813747,-1.0,-1.0,614,1_980,NP04_94,False
1053,1,95,4980.0,3.04323725,-1.0,-1.0,599,1_1053,NP04_95,False
1058,1,96,1880.0,1.84090909,-1.0,-1.0,215,1_1058,NP04_96,False
94,1,97,540.0,0.65853659,-1.0,-1.0,38,1_94,NP04_97,False
122,1,98,4460.0,0.62361419,-1.0,-1.0,178,1_122,NP04_98,False
576,1,99,2460.0,0.58370288,-1.0,-1.0,660,1_576,NP04_99,False
612,1,100,2560.0,0.3059867,-1.0,-1.0,571,1_612,NP04_100,False
4,1,101,3900.0,3.33259424,0.854909624,0.3515625,496,1_4,NP04_101,False
133,1,102,700.0,5.64578714,-1.0,-1.0,516,1_133,NP04_102,False
163,1,103,4620.0,5.81208426,-1.0,-1.0,144,1_163,NP04_103,False
172,1,104,4740.0,2.16518847,-1.0,-1.0,280,1_172,NP04_104,False
247,1,105,4960.0,4.95399113,-1.0,-1.0,206,1_247,NP04_105,False
248,1,106,5000.0,5.51773836,-1.0,-1.0,86,1_248,NP04_106,False
327,1,107,5420.0,5.73558758,-1.0,-1.0,609,1_327,NP04_107,False
634,1,108,2620.0,3.28104213,-1.0,-1.0,517,1_634,NP04_108,False
639,1,109,2660.0,3.79490022,-1.0,-1.0,259,1_639,NP04_109,False
676,1,110,2860.0,2.64412417,-1.0,-1.0,387,1_676,NP04_110,False
847,1,111,3300.0,1.34201774,-1.0,-1.0,437,1_847,NP04_111,False
566,1,112,2400.0,3.65853659,-1.0,-1.0,398,1_566,NP04_112,False
871,1,113,3340.0,2.56097561,-1.0,-1.0,193,1_871,NP04_113,False
1051,1,114,940.0,1.10587583,-1.0,-1.0,133,1_1051,NP04_114,False
97,1,115,4380.0,4.095898,-1.0,-1.0,249,1_97,NP04_115,False
613,1,116,2560.0,5.7056541,-1.0,-1.0,146,1_613,NP04_116,False
262,2,0,6240.0,1.82926829,-1.0,-1.0,338,2_262,NP22_0,False
272,2,1,6000.0,2.20360825,-1.0,-1.0,91,2_272,NP22_1,True
151,2,2,5860.0,2.79010561,-1.0,-1.0,364,2_151,NP22_2,True
147,2,3,5700.0,0.63270053,-1.0,-1.0,321,2_147,NP22_3,False
208,2,4,5700.0,0.73830777,-1.0,-1.0,446,2_208,NP22_4,False
141,2,5,5580.0,1.36629369,-1.0,-1.0,93,2_141,NP22_5,False
219,2,6,4080.0,0.13672366,-1.0,-1.0,497,2_219,NP22_6,False
254,2,7,4080.0,0.32153633,-1.0,-1.0,2,2_254,NP22_7,False
15,2,8,4000.0,0.30644959,0.464093796,0.110677083,462,2_15,NP22_8,False
8,2,9,3960.0,0.29890621,0.610649731,0.364583333,443,2_8,NP22_9,False
2,2,10,3840.0,0.90897662,0.464093796,0.33203125,506,2_2,NP22_10,True
280,2,11,2880.0,0.81374151,-1.0,-1.0,78,2_280,NP22_11,False
165,2,12,2760.0,0.66853156,-1.0,-1.0,363,2_165,NP22_12,False
292,2,13,2680.0,1.97259241,-1.0,-1.0,244,2_292,NP22_13,False
161,2,14,2480.0,0.20178527,-1.0,-1.0,384,2_161,NP22_14,True
158,2,15,2400.0,1.43418406,-1.0,-1.0,47,2_158,NP22_15,False
157,2,16,2320.0,0.56009555,-1.0,-1.0,326,2_157,NP22_16,True
148,2,17,1980.0,0.44411617,-1.0,-1.0,175,2_148,NP22_17,True
139,2,18,1560.0,0.23761629,-1.0,-1.0,438,2_139,NP22_18,False
137,2,19,1520.0,0.33096555,-1.0,-1.0,212,2_137,NP22_19,False
222,2,20,1480.0,1.7472341,-1.0,-1.0,125,2_222,NP22_20,False
132,2,21,1440.0,0.37528288,-1.0,-1.0,162,2_132,NP22_21,False
205,2,22,1440.0,0.21404325,-1.0,-1.0,230,2_205,NP22_22,False
204,2,23,1400.0,0.30739251,-1.0,-1.0,488,2_204,NP22_23,False
283,2,24,1380.0,2.48837063,-1.0,-1.0,481,2_283,NP22_24,False
290,2,25,1360.0,1.18996731,-1.0,-1.0,307,2_290,NP22_25,False
256,2,26,1300.0,0.63270053,-1.0,-1.0,590,2_256,NP22_26,False
126,2,27,1280.0,0.67418909,-1.0,-1.0,531,2_126,NP22_27,False
287,2,28,1260.0,0.76376666,-1.0,-1.0,417,2_287,NP22_28,False
285,2,29,1200.0,1.76326377,-1.0,-1.0,591,2_285,NP22_29,False
122,2,30,1160.0,0.58932613,-1.0,-1.0,178,2_122,NP22_30,False
119,2,31,1120.0,0.3545386,-1.0,-1.0,662,2_119,NP22_31,False
201,2,32,1100.0,0.47900427,-1.0,-1.0,123,2_201,NP22_32,False
116,2,33,1080.0,0.80525522,-1.0,-1.0,389,2_116,NP22_33,False
276,2,34,1080.0,0.48089012,-1.0,-1.0,210,2_276,NP22_34,False
112,2,35,1060.0,0.27910485,-1.0,-1.0,470,2_112,NP22_35,False
242,2,36,1040.0,1.17959517,-1.0,-1.0,260,2_242,NP22_36,False
109,2,37,1000.0,0.71662057,-1.0,-1.0,540,2_109,NP22_37,False
200,2,38,960.0,0.76093789,-1.0,-1.0,174,2_200,NP22_38,False
104,2,39,920.0,0.50352024,3.834880313,0.05859375,16,2_104,NP22_39,False
234,2,40,920.0,0.68078954,-1.0,-1.0,22,2_234,NP22_40,False
103,2,41,900.0,0.35265275,-1.0,-1.0,346,2_103,NP22_41,False
101,2,42,880.0,0.31210712,-1.0,-1.0,315,2_101,NP22_42,False
198,2,43,880.0,0.28664823,-1.0,-1.0,107,2_198,NP22_43,False
231,2,44,880.0,0.93160674,-1.0,-1.0,682,2_231,NP22_44,False
99,2,45,860.0,0.22158662,-1.0,-1.0,478,2_99,NP22_45,False
97,2,46,840.0,0.47051798,-1.0,-1.0,249,2_97,NP22_46,False
216,2,47,840.0,0.40168469,-1.0,-1.0,665,2_216,NP22_47,False
248,2,48,820.0,2.06688459,-1.0,-1.0,86,2_248,NP22_48,False
95,2,49,800.0,0.56858185,-1.0,-1.0,211,2_95,NP22_49,False
252,2,50,780.0,1.38609505,-1.0,-1.0,311,2_252,NP22_50,False
92,2,51,760.0,0.57706814,-1.0,-1.0,655,2_92,NP22_51,False
246,2,52,760.0,0.36208197,-1.0,-1.0,318,2_246,NP22_52,False
193,2,53,720.0,0.31870757,-1.0,-1.0,374,2_193,NP22_53,False
213,2,54,720.0,0.337566,-1.0,-1.0,396,2_213,NP22_54,False
87,2,55,680.0,0.23855922,-1.0,-1.0,159,2_87,NP22_55,False
81,2,56,640.0,0.61572794,2.076209086,0.065104167,83,2_81,NP22_56,False
268,2,57,640.0,0.55538094,-1.0,-1.0,314,2_268,NP22_57,False
79,2,58,620.0,0.26307518,1.196873473,0.084635417,669,2_79,NP22_58,False
260,2,59,620.0,0.43280111,-1.0,-1.0,170,2_260,NP22_59,False
224,2,60,600.0,1.19751069,-1.0,-1.0,89,2_224,NP22_60,False
75,2,61,580.0,0.50634901,2.515876893,0.032552083,216,2_75,NP22_61,False
274,2,62,520.0,0.55443802,-1.0,-1.0,391,2_274,NP22_62,False
232,2,63,480.0,0.65910234,-1.0,-1.0,160,2_232,NP22_63,False
250,2,64,480.0,1.35780739,-1.0,-1.0,644,2_250,NP22_64,False
190,2,65,440.0,0.56575308,-1.0,-1.0,663,2_190,NP22_65,False
47,2,66,400.0,0.2725044,1.148021495,0.130208333,632,2_47,NP22_66,False
281,2,67,380.0,0.69681921,-1.0,-1.0,511,2_281,NP22_67,False
25,2,68,280.0,0.30173498,0.757205667,0.2734375,676,2_25,NP22_68,False
247,3,0,7160.0,0.33049027,-1.0,-1.0,206,3_247,NP26_0,False
244,3,1,7080.0,0.30549521,-1.0,-1.0,652,3_244,NP26_1,False
239,3,2,6960.0,0.91833712,-1.0,-1.0,172,3_239,NP26_2,False
232,3,3,6840.0,16.41435025,-1.0,-1.0,160,3_232,NP26_3,False
221,3,4,6720.0,3.97514071,-1.0,-1.0,286,3_221,NP26_4,False
220,3,5,6700.0,0.81928261,-1.0,-1.0,584,3_220,NP26_5,False
212,3,6,6620.0,8.25762812,-1.0,-1.0,87,3_212,NP26_6,False
287,3,7,6600.0,0.48231214,-1.0,-1.0,417,3_287,NP26_7,False
155,3,8,6040.0,1.12014911,-1.0,-1.0,104,3_155,NP26_8,False
139,3,9,5840.0,0.31938136,-1.0,-1.0,438,3_139,NP26_9,False
134,3,10,5800.0,2.01441691,-1.0,-1.0,675,3_134,NP26_10,False
136,3,11,5800.0,0.43880221,-1.0,-1.0,528,3_136,NP26_11,True
281,3,12,5460.0,0.41195566,-1.0,-1.0,511,3_281,NP26_12,False
126,3,13,5440.0,0.46379727,-1.0,-1.0,531,3_126,NP26_13,False
356,3,14,5280.0,1.17939666,-1.0,-1.0,76,3_356,NP26_14,False
114,3,15,5220.0,0.76373803,-1.0,-1.0,422,3_114,NP26_15,False
360,3,16,5160.0,0.30549521,-1.0,-1.0,232,3_360,NP26_16,True
106,3,17,5120.0,1.65430285,-1.0,-1.0,641,3_106,NP26_17,False
103,3,18,5080.0,0.72393108,-1.0,-1.0,346,3_103,NP26_18,True
376,3,19,5080.0,1.85981781,-1.0,-1.0,508,3_376,NP26_19,False
